smiles,ChEMBLID,IC50,units
O=C(Cc1ccc(Cl)cc1)Nc1cccc(-c2nc(C3CC3)[nH]c2-c2ccnc(NCCN3CCNC3=O)n2)c1,CHEMBL429498,2.0,nM
Cn1cc(-c2ccc3c(c2)CN/C3=N/O)c(-c2ccncc2)n1,CHEMBL524643,2.0,nM
CCOC(=O)N1C2CCC1CC(c1ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn13)C2,CHEMBL585334,2.0,nM
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1NC(=O)c1ccc2ncccc2c1,CHEMBL481563,2.0,nM
CS(=O)(=O)C1C2CCC1CC(c1ccnc3c(-c4ccc(Cl)c(O)c4)c(-c4ccncc4)nn13)C2,CHEMBL569312,2.0,nM
CSc1cc(Oc2ccnc3[nH]c(=O)c(C)nc23)ccc1NC(=O)Nc1cc(C(F)(F)F)ccc1F,CHEMBL1214001,2.0,nM
CSc1cc(Oc2ccnc3[nH]c(=O)c(=O)[nH]c23)ccc1NC(=O)Nc1cc(C(F)(F)F)ccc1F,CHEMBL1214000,2.0,nM
CCn1cc(-c2ccnc3[nH]ccc23)c(-c2cccc(NC(=O)Nc3cccc(OC)c3)c2)n1,CHEMBL456350,2.1,nM
Cn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccnc(N)c2)n1,CHEMBL496479,2.1,nM
O=C(O)[C@H]1CCCN1C(=O)N1C2CCC1CC(c1ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn13)C2,CHEMBL571748,2.1,nM
NCCn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1,CHEMBL496276,2.4,nM
CCn1cc(-c2ccnc3[nH]ccc23)c(-c2cccc(NC(=O)Nc3ccc(C(F)(F)F)cc3)c2)n1,CHEMBL523411,2.5,nM
Cn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccnc(O)c2)n1,CHEMBL497700,2.9,nM
CCN1C2CCC1CC(c1ccnc3c(-c4ccc(F)c(O)c4)c(-c4ccncc4)nn13)C2,CHEMBL568855,3.0,nM
CNc1nccc(-c2[nH]c(C3CC3)nc2-c2cccc(NC(=O)Cc3ccc(Cl)cc3)c2)n1,CHEMBL403854,3.0,nM
NC(=O)c1cccc(Nc2nccc(-c3[nH]c(C4CC4)nc3-c3cccc(NC(=O)Cc4ccc(Cl)cc4)c3)n2)c1,CHEMBL254966,3.0,nM
CSc1cc(Oc2ccnc3[nH]c(=O)c(=O)[nH]c23)ccc1NC(=O)Nc1ccc(Cl)c(C(F)(F)F)c1,CHEMBL1213998,3.0,nM
Cc1nc2c(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)c(F)c3)ccnc2[nH]c1=O,CHEMBL1214614,3.0,nM
Cn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncn2)n1,CHEMBL497701,3.1,nM
Cc1ccc2c(Nc3ccc(Cl)cc3)nccc2c1Nc1ncccc1-c1ccncn1,CHEMBL565884,3.4,nM
O/N=C1\CCc2cc(-c3cn(C4CCCC4)nc3-c3ccncc3)ccc21,CHEMBL503089,3.46,nM
Fc1ccc(-c2c(-c3ccncc3)nn3c(C4CC5CCC(C4)N5)ccnc23)c2cn[nH]c12,CHEMBL584527,3.8,nM
CCn1cc(-c2ccnc3[nH]ccc23)c(-c2cccc(NC(=O)Nc3cc(C(F)(F)F)ccc3F)c2)n1,CHEMBL526268,3.9,nM
O/N=C1\CCc2cc(-c3cn([C@H]4CCC[C@H]4O)nc3-c3ccncc3)ccc21,CHEMBL498343,3.91,nM
O=C(Nc1ccc(Oc2ccnc3[nH]c(=O)cnc23)cc1F)Nc1cc(C(F)(F)F)ccc1F,CHEMBL1214612,4.0,nM
Oc1cccc(-c2c(-c3ccncc3)nn3c(C4CC5CCC(C4)N5)ccnc23)c1,CHEMBL583025,4.0,nM
CSc1cc(Oc2ccnc3[nH]c(=O)cnc23)ccc1NC(=O)Nc1ccc(Cl)c(C(F)(F)F)c1,CHEMBL1213952,4.0,nM
Cc1nc2c(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)c4ccccc34)ccnc2[nH]c1=O,CHEMBL1214058,4.0,nM
CSc1cc(Oc2ccnc3[nH]c(=O)cnc23)ccc1NC(=O)Nc1cc(C(F)(F)F)ccc1F,CHEMBL1213999,4.0,nM
CN(C)CCn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccncc2)n1,CHEMBL498327,4.02,nM
Cn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2cnco2)n1,CHEMBL496478,4.1,nM
CCOC(=O)N1C2CCC1CC(c1ccnc3c(-c4ccc(C(F)(F)F)c5[nH]ncc45)c(-c4ccncc4)nn13)C2,CHEMBL571744,4.4,nM
Cc1c[nH]nc1-c1ccc(-c2cn(C)nc2-c2ccncc2)cc1,CHEMBL498468,4.4,nM
CCN1C2CCC1CC(c1ccnc3c(-c4ccc(Cl)c5[nH]ncc45)c(-c4ccncc4)nn13)C2,CHEMBL583245,4.4,nM
CS(=O)(=O)N1C2CCC1CC(c1ccnc3c(-c4cccc5[nH]ncc45)c(-c4ccncc4)nn13)C2,CHEMBL570453,4.9,nM
Nc1nc2c(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)c4ccccc34)ccnc2[nH]c1=O,CHEMBL1214129,5.0,nM
O=C(Nc1cccc(Oc2cccc3[nH]c(=O)[nH]c23)c1)c1cccc(SC(F)(F)F)c1,CHEMBL605328,5.0,nM
CC(=O)Nc1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,CHEMBL248256,5.0,nM
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1NC(=O)c1cnc2ccccc2c1,CHEMBL480918,5.0,nM
O=C(Nc1ccc(Oc2ccnc3[nH]c(=O)c(=O)[nH]c23)cc1F)Nc1cc(C(F)(F)F)ccc1F,CHEMBL1213691,5.0,nM
CCn1cc(-c2ccnc3[nH]ccc23)c(-c2cccc(NC(=O)Nc3ccccc3Cl)c2)n1,CHEMBL525896,5.3,nM
CCn1cc(-c2ccnc3[nH]ccc23)c(-c2cccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c2)n1,CHEMBL456983,5.4,nM
O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)Nc1ccc(Oc2ccnc3[nH]c(=O)cnc23)cc1F,CHEMBL1213824,6.0,nM
