smiles,ChEMBLID,IC50,units
CNC(=O)c1cc(CNc2ncsc2C(=O)Nc2ccc3c(c2)OC(F)(F)C(F)(F)O3)ccn1,CHEMBL247434,192.0,nM
O=C(NC1CC1)c1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,CHEMBL248398,192.0,nM
Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Oc2ccnc3c2[nH]c(=O)n3C)c2ccccc12,CHEMBL1091039,197.0,nM
CNC(=O)c1cc(CNc2c(C(=O)Nc3ccc4c(c3)OC(F)(F)O4)cnn2C)ccn1,CHEMBL247435,199.0,nM
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)n(C)c34)cc2)cc1,CHEMBL1089347,202.0,nM
CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)[nH]c34)c3ccccc23)n(-c2ccc(F)cc2)n1,CHEMBL1090290,203.0,nM
Cc1ccc(NC(=O)c2cccc(C(C)(C)C#N)c2)cc1C(=O)Nc1ccc(C#N)nc1,CHEMBL482577,205.0,nM
CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)[nH]c34)cc2)n(-c2ccccn2)n1,CHEMBL1089704,210.0,nM
O=C(Nc1cc(C(F)(F)F)ccc1F)Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)c2ccccc12,CHEMBL498112,214.0,nM
O=C(Nc1cccc(F)c1)Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)c2ccccc12,CHEMBL526838,214.0,nM
CC(C)(C)c1cc(NC(=O)Nc2ccc(Sc3ccnc4[nH]c(=O)[nH]c34)cc2)n(-c2ccccc2)n1,CHEMBL1090705,215.0,nM
CCN1CCN(Cc2cc(-c3cnn4c(-c5cccc(NC(=O)c6cccc(C(F)(F)F)c6)c5)ccnc34)co2)CC1,CHEMBL1076541,219.0,nM
CS(=O)(=O)CCNC(=O)c1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,CHEMBL245804,221.0,nM
Cc1ccc(NC(=O)c2cccc(N(C)C)c2)cc1NC(=O)c1ccc(O)cc1,CHEMBL186526,230.0,nM
O=C(NCc1ccccc1)Nc1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,CHEMBL395705,232.0,nM
Cc1ccc(NC(=O)c2cccc(C#N)c2)cc1C(=O)Nc1cccnc1,CHEMBL480390,237.0,nM
CCOC(=O)c1cnn2c(-c3cccc(NC(=O)Nc4ccc(F)c(C(F)(F)F)c4)c3)ccnc12,CHEMBL561243,240.0,nM
O=C(Nc1cccc(OC(F)(F)C(F)F)c1)c1cccc(Oc2cccc3[nH]c(=O)[nH]c23)c1,CHEMBL599437,240.0,nM
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)cnc34)cc2)cc1,CHEMBL1213823,252.0,nM
Cc1nc2nccc(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)c(F)c3)c2[nH]c1=O,CHEMBL1214615,258.0,nM
Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Oc2ccnc3c2[nH]c(=O)n3C)cc1,CHEMBL1092770,258.0,nM
CNc1ncc2cc(-c3c(C)ccc4c(Nc5ccc(Cl)cc5)nccc34)ccc2n1,CHEMBL576787,270.0,nM
COCCCNC(=O)c1cnn2c(-c3cccc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)c3)ccnc12,CHEMBL558490,270.0,nM
NC(=O)c1cccc(Nc2nccc(-c3[nH]c(C4CC4)nc3-c3cccc(NS(=O)(=O)Cc4ccc(Cl)c(Cl)c4)c3)n2)c1,CHEMBL402424,274.0,nM
Nc1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,CHEMBL400109,274.0,nM
CNC(=O)c1cc(Oc2ccc3nc(Nc4ccc(Cl)c(C(F)(F)F)c4)[nH]c3c2)ccn1,CHEMBL394826,280.0,nM
Cc1cc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)[nH]c34)cc2)n(-c2ccc(Cl)cc2)n1,CHEMBL1092465,290.0,nM
CNC(=O)c1cc(Oc2ccc3[nH]c(Nc4cccc(C(F)(F)F)c4)nc3c2)ccn1,CHEMBL511669,300.0,nM
CCOC(=O)N1C2CCC1CC(c1ccnc3c(-c4ccc(F)c(F)c4)c(-c4ccncc4)nn13)C2,CHEMBL571558,302.0,nM
CCn1c(=O)n(CC)c2c(Oc3ccc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)cc3)ccnc21,CHEMBL521951,305.0,nM
CN(C)c1ccc(-c2cnn3c(-c4cccc(NC(=O)c5cccc(C(F)(F)F)c5)c4)ccnc23)cc1,CHEMBL1080269,308.0,nM
CC(=O)Nc1ccc(Oc2cncc(Nc3cccc(-c4cnco4)c3)n2)c2ccccc12,CHEMBL443770,310.0,nM
Cn1c(=O)[nH]c2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccc(F)cc4)c4ccccc34)c21,CHEMBL1090976,313.0,nM
CN(C)CCc1ccccc1-c1cnn2c(-c3cccc(NC(=O)c4cccc(C(F)(F)F)c4)c3)ccnc12,CHEMBL1088162,318.0,nM
CCc1cc(Nc2nccc(-c3c(-c4cccc(C(=O)Nc5c(F)cccc5F)c4)nc4ccccn34)n2)c(OC)cc1N1CCC(N2CCN(S(C)(=O)=O)CC2)CC1,CHEMBL448929,320.0,nM
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)c(N)nc34)cc2F)cc1,CHEMBL1213886,320.0,nM
Cc1ccc(NC(=O)c2cccc(F)c2)cc1C(=O)Nc1cccnc1,CHEMBL511661,322.0,nM
O=C(Nc1cccc(-c2ccnc3c(-c4ccoc4)cnn23)c1)c1cccc(C(F)(F)F)c1,CHEMBL1081817,326.0,nM
CCn1cc(-c2ccnc3[nH]ccc23)c(-c2cccc(NC(=S)Nc3ccccc3)c2)n1,CHEMBL524635,331.0,nM
CCNC(=O)c1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,CHEMBL248226,333.0,nM
Oc1ccc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)cc1,CHEMBL68215,339.0,nM
CN(C)c1nccc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)n1,CHEMBL400057,349.0,nM
CCOC(=O)c1cnn2c(-c3cccc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)c3)ccnc12,CHEMBL564895,360.0,nM
CCOC(=O)c1cnn2c(-c3cccc(NC(=O)Nc4ccc(C)c(C(F)(F)F)c4)c3)ccnc12,CHEMBL551905,360.0,nM
O=C(Nc1cccc(-c2ccnc3c(-c4coc(CN5CCCC5)c4)cnn23)c1)c1cccc(C(F)(F)F)c1,CHEMBL1081818,362.0,nM
Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Oc2ccnc3[nH]c(=O)n(C)c23)c2ccccc12,CHEMBL1093757,383.0,nM
Cn1c(=O)[nH]c2nccc(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4cccnc4)cc3)c21,CHEMBL1089014,390.0,nM
O=C(Nc1cccc(-c2ccnc3c(-c4cnn(CCN5CCCC5)c4)cnn23)c1)c1cccc(C(F)(F)F)c1,CHEMBL1081647,393.0,nM
O=C(NCCO)c1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,CHEMBL246608,397.0,nM
Cc1ccc(-n2nc(C(F)(F)F)cc2NC(=O)Nc2cccc(Oc3cccc4[nH]c(=O)[nH]c34)c2)cc1,CHEMBL599851,400.0,nM
COc1cc(Nc2cncc(Oc3cccc4c(NC(C)=O)cccc34)n2)cc(OC)c1OC,CHEMBL524507,410.0,nM
COC(=O)c1cnn2c(-c3cccc(NC(=O)c4cccc(C(F)(F)F)c4)c3)ccnc12,CHEMBL549476,410.0,nM
Cn1c(=O)[nH]c2c(Oc3ccc(NC(=O)Nc4cccc(C(C)(C)C)c4)c4ccccc34)ccnc21,CHEMBL523907,430.0,nM
Cn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2cccnc2)n1,CHEMBL521731,433.8,nM
CC(=O)Nc1cccc(-c2cncc(Nc3ccc4c(c3)C(=O)OC4)n2)c1,CHEMBL199811,490.0,nM
COCCNC(=O)c1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,CHEMBL245805,497.0,nM
CCOC(=O)c1cnn2c(-c3cccc(NC(=O)c4ccc(C)c(C(F)(F)F)c4)c3)ccnc12,CHEMBL549823,500.0,nM
CNC(=O)c1cc(Oc2ccc3nc(Nc4ccc(Br)cc4)n(C)c3c2)ccn1,CHEMBL520236,500.0,nM
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4c3[nH]c(=O)n4C)cc2F)cn1,CHEMBL1092183,530.0,nM
CCOC(=O)c1cnn2c(-c3cccc(NC(=O)Nc4cccc(C(F)(F)F)c4)c3)ccnc12,CHEMBL560642,540.0,nM
Cc1cccc(C)c1-n1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n2c3ccccc3nc12,CHEMBL410295,540.0,nM
O=C(Nc1cccc(-c2ncnc3cc(-c4ccncc4)sc23)c1)c1cccc(C(F)(F)F)c1,CHEMBL1090804,540.0,nM
O=C(Nc1cccc(-c2ccnc3c(C#CCCCN4CCOCC4)cnn23)c1)c1cccc(C(F)(F)F)c1,CHEMBL1080656,552.0,nM
COc1cc(Nc2cncc(Oc3ccc(NC(C)=O)c4ccccc34)n2)cc(OC)c1OC,CHEMBL483298,560.0,nM
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1NC(=O)c1ccccn1,CHEMBL482304,580.0,nM
CS(=O)(=O)Nc1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,CHEMBL246423,594.0,nM
O=C(Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)cc1)Nc1cc(F)cc(N2CCOCC2)c1,CHEMBL483048,600.0,nM
O=c1[nH]c2cccc(Oc3cccc(NS(=O)(=O)c4cc(C(F)(F)F)cc(Cl)c4F)c3)c2[nH]1,CHEMBL599441,620.0,nM
CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)[nH]c34)cc2)n(-c2ccccc2)n1,CHEMBL1092522,620.0,nM
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1NC(=O)c1cncnc1,CHEMBL498905,625.0,nM
CC(=O)Nc1cccc2c(Oc3cncc(Nc4cccc(-c5cnco5)c4)n3)cccc12,CHEMBL501718,650.0,nM
O=C(Nc1cccc(-c2ccnc3cc(-c4ccncc4)nn23)c1)c1ccc(Cl)c(Cl)c1,CHEMBL1090082,660.0,nM
CN(C)Cc1nc2c(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)c(F)c3)ccnc2[nH]1,CHEMBL1213755,730.0,nM
CN1CCN(CCCC#Cc2cnn3c(-c4cccc(NC(=O)c5cccc(C(F)(F)F)c5)c4)ccnc23)CC1,CHEMBL1080268,842.0,nM
O=c1[nH]c2nccc(Oc3ccc(NS(=O)(=O)c4ccccc4)cc3)c2[nH]1,CHEMBL522263,850.0,nM
O=c1[nH]c2cccc(Oc3ccc(NS(=O)(=O)c4ccccc4)cc3)c2[nH]1,CHEMBL599860,850.0,nM
O=C(Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)cc1)Nc1cc(C(F)(F)F)ccc1N1CCOCC1,CHEMBL521337,860.0,nM
CC(C)(C)c1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1,CHEMBL371694,900.0,nM
O=C(Nc1cccc(-c2ccnc3c(-c4cnc(N5CCOCC5)nc4)cnn23)c1)c1cccc(C(F)(F)F)c1,CHEMBL1087906,941.0,nM
CC(=O)Nc1cccc(-c2cncc(Nc3cc(Cl)nc(Cl)c3)n2)c1,CHEMBL199948,950.0,nM
Cn1cc(-c2ccc3c(c2)CC/C3=N\O)c(-c2ccc3c(cnn3C)c2)n1,CHEMBL526671,969.6,nM
CCOC(=O)N1C2CCC1CC(c1ccnc3c(-c4cccc5[nH]c(=O)[nH]c45)c(-c4ccncc4)nn13)C2,CHEMBL569534,1000.0,nM
O=C(Nc1cccc(Oc2cccc3[nH]c(=O)[nH]c23)c1)c1ccnc(N2CCSCC2)c1,CHEMBL598651,1000.0,nM
CCOC(=O)N1C2CCC1CC(c1ccnc3c(-c4ccc5c(c4)NC(=O)C5)c(-c4ccncc4)nn13)C2,CHEMBL568856,1000.0,nM
CCOC(=O)N1C2CCC1CC(c1ccnc3c(-c4cccc5[nH]ccc45)c(-c4ccncc4)nn13)C2,CHEMBL570416,1000.0,nM
COCCCNC(=O)c1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,CHEMBL247030,1030.0,nM
CCOC(=O)c1cnn2c(-c3cccc(NC(=O)c4ccc(OC)c(C(F)(F)F)c4)c3)ccnc12,CHEMBL549824,1030.0,nM
Cn1c(=O)[nH]c2nccc(Oc3ccc(NC(=O)Nc4cccc(C(C)(C)C)c4)c4ccccc34)c21,CHEMBL496081,1060.0,nM
CC(C)(C)c1cc(NC(=O)c2cccc(Oc3cccc4[nH]c(=O)[nH]c34)c2)n(-c2ccccc2)n1,CHEMBL598626,1090.0,nM
Cn1c(=O)n(C)c2c(Oc3ccc(NC(=O)Nc4cc(C(C)(C)C)nn4-c4ccccc4)c(F)c3)ccnc21,CHEMBL1092188,1090.0,nM
O=C(Nc1cccc(-c2ccnc3cc(-c4ccncc4)nn23)c1)c1cccc(Cl)c1,CHEMBL1089751,1100.0,nM
O=C(Nc1cccc(-c2ncnc3sc(-c4cccnc4)cc23)c1)c1cccc(C(F)(F)F)c1,CHEMBL1093588,1110.0,nM
O=C(Nc1cccc(Oc2cccc3[nH]c(=O)[nH]c23)c1)Nc1ccc(F)c(F)c1,CHEMBL591265,1120.0,nM
COc1cc(Nc2cncc(-c3ccc(C(N)=O)cc3)n2)cc(OC)c1OC,CHEMBL484307,1120.0,nM
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4c3n(C)c(=O)n4C)cc2F)cc1,CHEMBL1092540,1130.0,nM
COc1cc(Nc2cncc(-c3ccc(NC(=O)Nc4ccccc4)cc3)n2)cc(OC)c1OC,CHEMBL484106,1160.0,nM
CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)[nH]c34)cc2)n(C(C)(C)C)n1,CHEMBL1089349,1190.0,nM
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4c3[nH]c(=O)n4C)cc2)cc1,CHEMBL1091430,1190.0,nM
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1NC(=O)c1cnccn1,CHEMBL480184,1200.0,nM
N=C(N)SCCCn1c(=O)c2c(c1=O)n1c3ccccc3cc1c1cccc3ccn2c31,CHEMBL489083,1200.0,nM
COc1cc(Nc2cncc(Oc3cccc4ccccc34)n2)cc(OC)c1OC,CHEMBL484320,1200.0,nM
CNC(=O)c1cc(CNc2ncsc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,CHEMBL247248,1240.0,nM
O=C(Nc1cc(F)cc(C(F)(F)F)c1)Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)cc1F,CHEMBL496612,1290.0,nM
COc1ccc(Nc2cncc(-c3cccc(NC(C)=O)c3)n2)cc1OC,CHEMBL203093,1300.0,nM
CNC(=O)c1cc(Oc2ccc3[nH]c(Nc4cccc(Br)c4)nc3c2)ccn1,CHEMBL519065,1300.0,nM
CC(C)(C)c1cc(NC(=O)Nc2cccc(Oc3cccc4[nH]c(=O)[nH]c34)c2)n(-c2ccccc2)n1,CHEMBL597592,1330.0,nM
O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)cc1Cl,CHEMBL498025,1330.0,nM
COc1cc(Nc2cncc(Oc3cccc4c3CC/C4=N\O)n2)cc(OC)c1OC,CHEMBL484096,1400.0,nM
CC(=O)Nc1cccc(-c2cncc(Nc3cccc(Cl)c3)n2)c1,CHEMBL201322,1400.0,nM
O=C(Nc1cccc(-c2ccnc3c(C(=O)OCC(F)(F)F)cnn23)c1)c1cccc(C(F)(F)F)c1,CHEMBL565026,1450.0,nM
Cn1c(=O)[nH]c2nccc(Oc3ccc(NC(=O)Nc4cccc(SC(F)(F)F)c4)c4ccccc34)c21,CHEMBL487718,1460.0,nM
CCOC(=O)c1cnn2c(-c3cccc(NC(=O)c4cccc(C(F)(F)F)c4)c3)ccnc12,CHEMBL565061,1500.0,nM
COc1cc(Nc2cncc(Oc3ccnc4ccccc34)n2)cc(OC)c1OC,CHEMBL518975,1500.0,nM
Cn1c(=O)[nH]c2nccc(Oc3ccc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)c(F)c3)c21,CHEMBL498458,1570.0,nM
CCOC(=O)c1cnn2c(-c3cccc(NC(=O)c4cccc(OC(F)(F)F)c4)c3)ccnc12,CHEMBL549619,1570.0,nM
OCc1cccc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)c1,CHEMBL200259,1585.0,nM
O=C(Nc1cccc(-c2ccnc3cc(-c4cnc[nH]4)nn23)c1)c1cccc(C(F)(F)F)c1,CHEMBL1089411,1600.0,nM
O=c1[nH]c2cccc(Oc3cccc(NS(=O)(=O)c4ccccc4)c3)c2[nH]1,CHEMBL603161,1660.0,nM
Cn1c(=O)n(Cc2ccccc2)c(=O)c2c1nc(SCCO)n2Cc1ccccc1,CHEMBL460137,1720.0,nM
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4c3n(C)c(=O)n4C)cc2)cc1,CHEMBL1091431,1800.0,nM
CNC(=O)c1cc(Oc2ccc3c(c2)nc(Nc2ccccc2C(F)(F)F)n3C)ccn1,CHEMBL470799,1900.0,nM
O=C(Nc1cccc(C(F)(F)F)c1)Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)c2ccccc12,CHEMBL523753,1910.0,nM
CC(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)[nH]c34)cc2)n(-c2ccccc2)n1,CHEMBL1092523,1970.0,nM
CCc1cc(Nc2nccc(-c3c(-c4ccc(OC)c(C(=O)Nc5c(F)cccc5F)c4)nc4ccccn34)n2)c(OC)cc1N1CCC(N2CCN(S(C)(=O)=O)CC2)CC1,CHEMBL466397,2000.0,nM
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)c2cccc(Oc3cccc4[nH]c(=O)[nH]c34)c2)cc1,CHEMBL598004,2050.0,nM
Cn1c(=O)[nH]c(=O)c2c1nc(S)n2Cc1ccc(Cl)cc1,CHEMBL454028,2100.0,nM
O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)cc1F,CHEMBL496020,2170.0,nM
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Sc3ccnc4[nH]c(=O)[nH]c34)cc2)cc1,CHEMBL1090706,2200.0,nM
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)n(C)c34)c3ccccc23)cc1,CHEMBL1090979,2280.0,nM
CNC(=O)c1cc(Oc2ccc3[nH]c(Nc4ccccc4Br)nc3c2)ccn1,CHEMBL486943,2400.0,nM
CC(=O)Nc1cccc2c(Oc3cncc(Nc4ccc5c(c4)C(=O)OC5)n3)cccc12,CHEMBL501719,2500.0,nM
O=C(Nc1ccc2c(c1)OC(F)(F)C(F)(F)O2)c1ncsc1NCc1ccncc1,CHEMBL392600,2560.0,nM
CN(C)C(=O)c1cc(Oc2ccc3c(c2)nc(Nc2ccc(Br)cc2)n3C)ccn1,CHEMBL486342,2700.0,nM
COc1cc(Nc2cncc(-c3cccc(NC(C)=O)c3)n2)cc(OC)c1,CHEMBL425577,2700.0,nM
O=C(Nc1cccc(F)c1)Nc1cccc(Oc2cccc3[nH]c(=O)[nH]c23)c1,CHEMBL591264,2750.0,nM
O=C(Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)cc1)Nc1cccc(F)c1,CHEMBL520627,2840.0,nM
COc1cc(Nc2cncc(-c3ccncc3)n2)cc(OC)c1OC,CHEMBL500142,2900.0,nM
COc1cc(Nc2cncc(-c3ccc(C=O)cc3)n2)cc(OC)c1OC,CHEMBL521480,3000.0,nM
CC(=O)Nc1cccc(-c2cncc(Nc3ccc4c(c3)OCCO4)n2)c1,CHEMBL199833,3000.0,nM
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4c3[nH]c(=O)n4C)cc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,CHEMBL1090289,3000.0,nM
CCC(C)(C)c1cccc(C(=O)Nc2cccc(Oc3cccc4[nH]c(=O)[nH]c34)c2)c1,CHEMBL599660,3100.0,nM
CC(=O)Nc1cccc(-c2cncc(Nc3ccc4c(c3)OCCCO4)n2)c1,CHEMBL199281,3300.0,nM
COc1cc(Nc2cncc(-c3cccc(NC(C)=O)c3)n2)cc(OC)c1OC,CHEMBL200114,3500.0,nM
CCOC(=O)c1cnn2c(-c3cccc(NC(=O)Nc4ccc(C(F)(F)F)cc4)c3)ccnc12,CHEMBL562424,3600.0,nM
C/C(Cl)=C\CSc1nc2c(c(=O)[nH]c(=O)n2C)n1CC(O)CCc1ccccc1,CHEMBL461421,3750.0,nM
CC(=O)Nc1cccc(-c2cncc(NCc3ccc4c(c3)OCO4)n2)c1,CHEMBL201576,3800.0,nM
COc1cc(Nc2cncc(Oc3cccc4cnccc34)n2)cc(OC)c1OC,CHEMBL483915,3800.0,nM
CC(=O)Nc1cccc(-c2cncc(Nc3cccc(OCCN)c3)n2)c1,CHEMBL199355,3800.0,nM
Cc1c(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)ccc(Oc2ccnc3[nH]c(=O)[nH]c23)c1C,CHEMBL523905,3900.0,nM
COc1cc(Nc2cncc(-c3cccc(O)c3)n2)cc(OC)c1OC,CHEMBL501736,4000.0,nM
COc1cccc(C(=O)Nc2cccc(-c3ccnc4cc(-c5ccncc5)nn34)c2)c1,CHEMBL1090081,4000.0,nM
COc1cccc(Nc2cncc(-c3cccc(NC(C)=O)c3)n2)c1,CHEMBL373006,4000.0,nM
O=C(Nc1cc(Oc2cccc3[nH]c(=O)[nH]c23)c(F)c(F)c1F)c1cccc(OC(F)(F)F)c1,CHEMBL602123,4050.0,nM
O=C(Nc1cccc(SC(F)(F)F)c1)Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)cc1F,CHEMBL522072,4150.0,nM
CCOC(=O)c1cnn2c(-c3cccc(NC(=O)c4ccc(Cl)c(C(F)(F)F)c4)c3)ccnc12,CHEMBL564192,4270.0,nM
CNC(=O)c1cc(Oc2ccc3c(c2)nc(NC2CCCCC2)n3C)ccn1,CHEMBL472651,4400.0,nM
C/C(=N/Nc1nc2c(c(=O)[nH]c(=O)n2C)n1Cc1ccccc1)c1ccc([N+](=O)[O-])cc1,CHEMBL462473,4600.0,nM
COc1cc(Nc2cncc(Nc3ccncc3)n2)cc(OC)c1OC,CHEMBL484115,4700.0,nM
COc1cc(Nc2cncc(Nc3ccc(O)cc3)n2)cc(OC)c1OC,CHEMBL484317,4900.0,nM
CC(=O)Nc1cccc(-c2cncc(Nc3ccc(OC(F)(F)F)cc3)n2)c1,CHEMBL378600,5200.0,nM
COc1cc(Nc2cncc(Oc3ccc(NC(C)=O)cc3)n2)cc(OC)c1OC,CHEMBL482928,5500.0,nM
CN(C)CCNC(=O)c1cnn2c(-c3cccc(NC(=O)c4cccc(C(F)(F)F)c4)c3)ccnc12,CHEMBL551372,5880.0,nM
N#Cc1cnc2cc(-c3ccncc3)sc2c1-c1cccc(NC(=O)c2cccc(C(F)(F)F)c2)c1,CHEMBL1091543,5940.0,nM
O=C(Nc1cccc(-c2ccnc3cc(N4CCNCC4)nn23)c1)c1cccc(C(F)(F)F)c1,CHEMBL1092827,6200.0,nM
Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(Oc3ccnc4c3[nH]c(=O)n4C)c3ccccc23)cc1,CHEMBL1090981,6300.0,nM
O=C(Nc1cccc(-c2ccnc3c(C(=O)NCCN4CCOCC4)cnn23)c1)c1cccc(C(F)(F)F)c1,CHEMBL550290,6340.0,nM
O=C(NCCCN1CCOCC1)c1cc(CNc2ccccc2C(=O)Nc2ccc3c(c2)OC(F)(F)O3)ccn1,CHEMBL398872,6830.0,nM
CN(C)CCOC(=O)c1cnn2c(-c3cccc(NC(=O)c4cccc(C(F)(F)F)c4)c3)ccnc12,CHEMBL561969,7070.0,nM
COc1c(NC(=O)Nc2ccc(-c3ccc(CN4CCOCC4)nc3)c3ccccc23)cc(C(C)(C)C)cc1NS(C)(=O)=O,CHEMBL451523,7200.0,nM
COc1cc(Nc2cncc(Oc3cccc4[nH]ccc34)n2)cc(OC)c1OC,CHEMBL483709,7400.0,nM
CNC(=O)c1cc(Oc2ccc3[nH]c(Nc4ccccc4)nc3c2)ccn1,CHEMBL486739,7700.0,nM
CC(C)(C)c1csc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)[nH]c34)cc2)n1,CHEMBL1089690,7800.0,nM
CNC(=N)SCCCN1C(=O)C2=C(C1=O)n1ccc3cccc(c31)C1Cc3ccccc3N21,CHEMBL447317,8000.0,nM
CC(=O)Nc1cccc(-c2cncc(NCc3cccc(F)c3)n2)c1,CHEMBL440761,8000.0,nM
O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)c1cccc(Oc2cccc3[nH]c(=O)[nH]c23)c1,CHEMBL599235,8200.0,nM
CC(=O)Nc1cccc(-c2cncc(Nc3ccc(S(=O)(=O)N4CCOCC4)cc3)n2)c1,CHEMBL200080,8300.0,nM
CNC(=N)SCCCn1c(=O)c2c(c1=O)n1c3ccccc3cc1c1cccc3ccn2c31,CHEMBL488271,8400.0,nM
CCN1CCN(CC/C=C/c2ccc3c(Nc4ccc(Sc5nccn5C)c(Cl)c4)c(C#N)cnc3c2)CC1,CHEMBL489058,8800.0,nM
CNC(=O)c1cc(Oc2ccc3[nH]c(Nc4ccccc4C(F)(F)F)nc3c2)ccn1,CHEMBL472449,9000.0,nM
COc1cc(Nc2cncc(Sc3cccc4ccccc34)n2)cc(OC)c1OC,CHEMBL482681,9800.0,nM
COc1cc(Nc2cncc(-c3cccc(C#N)c3)n2)cc(OC)c1OC,CHEMBL484107,9800.0,nM
O=C(Cc1cccc(C(F)(F)F)c1)Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)cc1,CHEMBL451006,10000.0,nM
O=C(Cc1cccc(C(F)(F)F)c1)Nc1ccc(Oc2ccnc3[nH]c(=O)[nH]c23)c2ccccc12,CHEMBL521557,10000.0,nM
O=C(Nc1cccc(-c2ccnc3c(C(=O)O)cnn23)c1)c1cccc(C(F)(F)F)c1,CHEMBL561567,10000.0,nM
